Metadata_SMILES,Metadata_BROAD_ID,Scaffold
CC\C=C/C\C=C/C\C=C/CCCCCCCCCCCC(O)=O,BRD-K01624546,
CN1CCc2c(Cc3ccccc3CC1)[nH]c1ccccc21,BRD-K01648091,c1ccc2c(c1)CCNCCc1c([nH]c3ccccc13)C2
OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1,BRD-K01663662,c1ccc(C(CCCN2CCCCC2)c2ccccc2)cc1
OCc1c[nH]c2ccccc12,BRD-K01815685,c1ccc2[nH]ccc2c1
COc1cc(N)c(Cl)cc1C(=O)OCCCN1CCCCC1,BRD-K01868942,O=C(OCCCN1CCCCC1)c1ccccc1
Cc1cccc(Nc2cc(Cl)nc(SCC(O)=O)n2)c1C,BRD-K01902415,c1ccc(Nc2ccncn2)cc1
Clc1ccc2Oc3ccccc3N=C(N3CCNCC3)c2c1,BRD-K02265150,c1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1O2
CN(C)CCn1nnnc1SCC1=C(N2[C@H](SC1)[C@H](NC(=O)Cc1csc(N)n1)C2=O)C(O)=O,BRD-K02275692,O=C(Cc1cscn1)NC1C(=O)N2C=C(CSc3nnn[nH]3)CSC12
O[C@H]1C[C@H](OCc2ccc(cc2)-c2ccccc2)[C@H](CC\C=C/CCC(O)=O)[C@H]1N1CCCCC1,BRD-K02283807,c1ccc(-c2ccc(COC3CCC(N4CCCCC4)C3)cc2)cc1
Cn1cnc2n(C)c(=O)n(C)c(=O)c12,BRD-K02404261,O=c1[nH]c(=O)c2[nH]cnc2[nH]1
CCCCc1ccc2[nH]c(NC(=O)OC)nc2c1,BRD-K02407574,c1ccc2[nH]cnc2c1
CC(C)(c1ccc(NS(=O)(=O)C(F)(F)F)cc1)c1ccc(cc1)C(C)(C)c1cccc(NS(=O)(=O)C(F)(F)F)c1,BRD-K02581333,c1ccc(Cc2ccc(Cc3ccccc3)cc2)cc1
CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(CC#CCCCNS(C)(=O)=O)cc1OC2(C)C,BRD-K02590140,C1=CCC2c3ccccc3OCC2C1
COc1cc2CCN(C)[C@H]3Cc4cccc(Oc5c(O)c(OC)cc6CC[N+](C)(C)[C@H](Cc7ccc(O)c(Oc1cc23)c7)c56)c4,BRD-K02607075,c1cc2cc(c1)Oc1ccc3c(c1)C(Cc1cccc(c1)Oc1cccc4c1C(C2)[NH2+]CC4)NCC3
Cc1ccc(cc1)-c1cc(nn1-c1ccc(cc1)S(N)(=O)=O)C(F)(F)F,BRD-K02637541,c1ccc(-c2ccnn2-c2ccccc2)cc1
COC(=O)Nc1nc2cc(SC(C)C)ccc2[nH]1,BRD-K02764365,c1ccc2[nH]cnc2c1
Cc1cc(nnc1NCCN1CCOCC1)-c1ccccc1,BRD-K02867583,c1ccc(-c2ccc(NCCN3CCOCC3)nn2)cc1
CC(C)(C)CC(C)(C)c1ccc(O)c(Cc2ccc(Cl)cc2Cl)c1,BRD-K02900412,c1ccc(Cc2ccccc2)cc1
C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2Oc2cc(O)c3C(=O)C[C@H](Oc3c2)c2ccc(O)cc2)[C@H](O)[C@H](O)[C@H]1O,BRD-K02953697,O=C1CC(c2ccccc2)Oc2cc(OC3OCCCC3OC3CCCCO3)ccc21
CN1CCN(CCCC(=O)O[C@H]2[C@@H](O)[C@H]3C(C)(C)CC[C@H](O)[C@]3(C)[C@@]3(O)C(=O)C[C@@](C)(O[C@]23C)C=C)CC1,BRD-K03015355,O=C(CCCN1CCNCC1)OC1CC2CCCCC2C2C(=O)CCOC12
CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc12,BRD-K03067624,c1ccc2c(c1)CCNC2CC1CCN2CCc3ccccc3C2C1
ClC1=C(NCCN2CCOCC2)C(=O)c2ncccc2C1=O,BRD-K03109492,O=C1C=C(NCCN2CCOCC2)C(=O)c2ncccc21
CN(C(=O)c1c(O)c2ccccc2n(C)c1=O)c1ccccc1,BRD-K03384561,O=C(Nc1ccccc1)c1cc2ccccc2[nH]c1=O
COc1cc-2c(C[C@@H]3N(C)CCc4cc(O)c(OC)c-2c34)cc1O,BRD-K03440695,c1ccc2c(c1)CC1NCCc3cccc-2c31
O=C(O[C@H]1Cc2c(OC(=O)c3ccccc3)cc(OC(=O)c3ccccc3)cc2O[C@@H]1c1ccc(OC(=O)c2ccccc2)c(OC(=O)c2ccccc2)c1)c1ccccc1,BRD-K03600606,O=C(Oc1cc(OC(=O)c2ccccc2)c2c(c1)OC(c1ccc(OC(=O)c3ccccc3)c(OC(=O)c3ccccc3)c1)C(OC(=O)c1ccccc1)C2)c1ccccc1
CC(C)n1c(\C=C\[C@H](O)C[C@H](O)CC(O)=O)c(-c2ccc(F)cc2)c2ccccc12,BRD-K03602135,c1ccc(-c2c[nH]c3ccccc23)cc1
Clc1ccccc1CNCC1CCC(CNCc2ccccc2Cl)CC1,BRD-K03642198,c1ccc(CNCC2CCC(CNCc3ccccc3)CC2)cc1
Oc1cc(C=C(C#N)C#N)cc(O)c1O,BRD-K03670461,c1ccccc1
CC(=C)[C@H]1O[C@H]2CC[C@]3(C)[C@]4(C)[C@@H](CC[C@@]3(O)[C@]22O[C@@H]2[C@H]1O)[C@@H]1OC(C)(C)[C@H]2C[C@@H]3C(=C)Cc5c(Cl)cc6[nH]c4c1c6c5[C@]23O,BRD-K03842655,C=C1Cc2ccc3[nH]c4c5c3c2C2C(COC5C3CCC5C(CCC6OCCC7OC675)C43)CC12
